AF380138.1 	Monkeypox virus strain Zaire-96-I-16, complete genome			Monkeypox virus	complete
AY603973.1 	Monkeypox virus strain MPXV-WRAIR7-61, complete genome			Monkeypox virus	complete
AY741551.1 	Monkeypox virus isolate Sierra Leone, complete genome			Monkeypox virus	complete
AY753185.1 	Monkeypox virus strain COP-58, complete genome			Monkeypox virus	complete
DQ011153.1 	Monkeypox virus strain USA_2003_044, complete genome		Cynomys	Monkeypox virus	complete
DQ011154.1 	Monkeypox virus strain Congo_2003_358, complete genome		Homo sapiens	Monkeypox virus	complete
DQ011155.1 	Monkeypox virus strain Zaire_1979-005, complete genome		Homo sapiens	Monkeypox virus	complete
DQ011156.1 	Monkeypox virus strain Liberia_1970_184, complete genome		Homo sapiens	Monkeypox virus	complete
DQ011157.1 	Monkeypox virus strain USA_2003_039, complete genome		Homo sapiens	Monkeypox virus	complete
HM172544.1 	Monkeypox virus strain Zaire 1979-005, complete genome	Zaire	Homo sapiens	Monkeypox virus	complete
HQ857562.1 	Monkeypox virus strain V79-I-005, complete genome	Zaire	Homo sapiens	Monkeypox virus	complete
HQ857563.1 	Monkeypox virus strain D14L knockout, complete genome			Monkeypox virus	complete
JX878407.1 	Monkeypox virus isolate DRC 06-0950, complete genome	Democratic Republic of the Congo	Homo sapiens	Monkeypox virus	complete
JX878408.1 	Monkeypox virus isolate DRC 06-0970, complete genome	Democratic Republic of the Congo	Homo sapiens	Monkeypox virus	complete
JX878409.1 	Monkeypox virus isolate DRC 06-0999, complete genome	Democratic Republic of the Congo	Homo sapiens	Monkeypox virus	complete
JX878410.1 	Monkeypox virus isolate DRC 06-1070, complete genome	Democratic Republic of the Congo	Homo sapiens	Monkeypox virus	complete
JX878411.1 	Monkeypox virus isolate DRC 06-1075, complete genome	Democratic Republic of the Congo	Homo sapiens	Monkeypox virus	complete
JX878412.1 	Monkeypox virus isolate DRC 06-1076, complete genome	Democratic Republic of the Congo	Homo sapiens	Monkeypox virus	complete
JX878413.1 	Monkeypox virus isolate DRC 07-0045, complete genome	Democratic Republic of the Congo	Homo sapiens	Monkeypox virus	complete
JX878414.1 	Monkeypox virus isolate DRC 07-0046, complete genome	Democratic Republic of the Congo	Homo sapiens	Monkeypox virus	complete
JX878415.1 	Monkeypox virus isolate DRC 07-0092, complete genome	Democratic Republic of the Congo	Homo sapiens	Monkeypox virus	complete
JX878416.1 	Monkeypox virus isolate DRC 07-0093, complete genome	Democratic Republic of the Congo	Homo sapiens	Monkeypox virus	complete
JX878417.1 	Monkeypox virus isolate DRC 07-0104, complete genome	Democratic Republic of the Congo	Homo sapiens	Monkeypox virus	complete
JX878418.1 	Monkeypox virus isolate DRC 07-0120, complete genome	Democratic Republic of the Congo	Homo sapiens	Monkeypox virus	complete
JX878419.1 	Monkeypox virus isolate DRC 07-0275, complete genome	Democratic Republic of the Congo	Homo sapiens	Monkeypox virus	complete
JX878420.1 	Monkeypox virus isolate DRC 07-0283, complete genome	Democratic Republic of the Congo	Homo sapiens	Monkeypox virus	complete
JX878421.1 	Monkeypox virus isolate DRC 07-0286, complete genome	Democratic Republic of the Congo	Homo sapiens	Monkeypox virus	complete
JX878422.1 	Monkeypox virus isolate DRC 07-0287, complete genome	Democratic Republic of the Congo	Homo sapiens	Monkeypox virus	complete
JX878423.1 	Monkeypox virus isolate DRC 07-0337, complete genome	Democratic Republic of the Congo	Homo sapiens	Monkeypox virus	complete
JX878424.1 	Monkeypox virus isolate DRC 07-0338, complete genome	Democratic Republic of the Congo	Homo sapiens	Monkeypox virus	complete
JX878425.1 	Monkeypox virus isolate DRC 07-0354, complete genome	Democratic Republic of the Congo	Homo sapiens	Monkeypox virus	complete
JX878426.1 	Monkeypox virus isolate DRC 07-0450, complete genome	Democratic Republic of the Congo	Homo sapiens	Monkeypox virus	complete
JX878427.1 	Monkeypox virus isolate DRC 07-0480, complete genome	Democratic Republic of the Congo	Homo sapiens	Monkeypox virus	complete
JX878428.1 	Monkeypox virus isolate DRC 07-0514, complete genome	Democratic Republic of the Congo	Homo sapiens	Monkeypox virus	complete
JX878429.1 	Monkeypox virus isolate DRC 07-0662, complete genome	Democratic Republic of the Congo	Homo sapiens	Monkeypox virus	complete
KC257459.1 	Monkeypox virus strain Sudan 2005_01, complete genome	Sudan: Nuria	Homo sapiens	Monkeypox virus	complete
KC257460.1 	Monkeypox virus strain DRC Yandongi 1985, complete genome	Democratic Republic of the Congo: Yandongi	Homo sapiens	Monkeypox virus	complete
KJ642612.1 	Monkeypox virus strain Ikubi, complete genome	Zaire		Monkeypox virus	complete
KJ642613.1 	Monkeypox virus strain Congo_8, complete genome	Zaire		Monkeypox virus	complete
KJ642614.1 	Monkeypox virus strain UTC, complete genome	Netherlands: Rotterdam		Monkeypox virus	complete
KJ642615.1 	Monkeypox virus strain W-Nigeria, complete genome	Nigeria		Monkeypox virus	complete
KJ642616.1 	Monkeypox virus strain PCH, complete genome	France: Paris		Monkeypox virus	complete
KJ642617.1 	Monkeypox virus strain Nigeria-SE-1971, complete genome	Nigeria		Monkeypox virus	complete
KJ642618.1 	Monkeypox virus strain Cameroon-1990, complete genome	Cameroon		Monkeypox virus	complete
KJ642619.1 	Monkeypox virus strain Gabon-1988, complete genome	Gabon		Monkeypox virus	complete
